Date,Greater Toronto,CPI,Ontario Population,Real GDP,Unemployment Rate,Prime Rate
Jan-05,305500,105.3,12446466,0.013842664,0.070,0.0425
Feb-05,308000,105.7,12446466,0.013842664,0.070,0.0425
Mar-05,311300,106.3,12446466,0.013842664,0.069,0.0425
Apr-05,313800,106.6,12477967,0.029020908,0.067,0.0425
May-05,316200,106.7,12477967,0.029020908,0.070,0.0425
Jun-05,317700,106.9,12477967,0.029020908,0.068,0.0425
Jul-05,318000,107.1,12528663,0.048454993,0.067,0.0425
Aug-05,319300,107.5,12528663,0.048454993,0.067,0.0425
Sep-05,319900,108.4,12528663,0.048454993,0.067,0.045
Oct-05,321100,107.9,12578931,0.039549373,0.067,0.0475
Nov-05,321400,107.7,12578931,0.039549373,0.064,0.0475
Dec-05,321400,107.6,12578931,0.039549373,0.066,0.05
Jan-06,322900,108.2,12587531,0.032439816,0.066,0.0525
Feb-06,326000,108,12587531,0.032439816,0.064,0.0525
Mar-06,329600,108.6,12587531,0.032439816,0.064,0.055
Apr-06,332400,109.2,12618444,0.002065855,0.063,0.0575
May-06,334200,109.7,12618444,0.002065855,0.061,0.06
Jun-06,334500,109.5,12618444,0.002065855,0.061,0.06
Jul-06,334500,109.6,12661878,0.011169819,0.064,0.06
Aug-06,333900,109.8,12661878,0.011169819,0.064,0.06
Sep-06,334500,109.2,12661878,0.011169819,0.064,0.06
Oct-06,334200,109,12700994,0.01594393,0.062,0.06
Nov-06,334200,109.2,12700994,0.01594393,0.064,0.06
Dec-06,333000,109.4,12700994,0.01594393,0.062,0.06
Jan-07,333900,109.4,12702838,0.025585066,0.063,0.06
Feb-07,339100,110.2,12702838,0.025585066,0.062,0.06
Mar-07,342800,111.1,12702838,0.025585066,0.062,0.06
Apr-07,346100,111.6,12726728,0.038756291,0.062,0.06
May-07,349800,112.1,12726728,0.038756291,0.060,0.06
Jun-07,352900,111.9,12726728,0.038756291,0.061,0.06
Jul-07,354100,112,12764806,0.016794183,0.060,0.0625
Aug-07,356200,111.7,12764806,0.016794183,0.059,0.0625
Sep-07,357400,111.9,12764806,0.016794183,0.059,0.0625
Oct-07,359300,111.6,12807208,0.004544682,0.059,0.0625
Nov-07,360200,111.9,12807208,0.004544682,0.061,0.0625
Dec-07,359900,112,12807208,0.004544682,0.061,0.06
Jan-08,361700,111.8,12814446,0.003065623,0.059,0.0575
Feb-08,365100,112.2,12814446,0.003065623,0.060,0.0575
Mar-08,366600,112.6,12814446,0.003065623,0.062,0.0525
Apr-08,368800,113.5,12840272,0.014466876,0.061,0.0475
May-08,369700,114.6,12840272,0.014466876,0.061,0.0475
Jun-08,368800,115.4,12840272,0.014466876,0.061,0.0475
Jul-08,367200,115.8,12883583,0.03280176,0.061,0.0475
Aug-08,366600,115.6,12883583,0.03280176,0.061,0.0475
Sep-08,364200,115.7,12883583,0.03280176,0.061,0.0475
Oct-08,361100,114.5,12927148,-0.04638074,0.062,0.04
Nov-08,356500,114.1,12927148,-0.04638074,0.066,0.04
Dec-08,351600,113.3,12927148,-0.04638074,0.069,0.035
Jan-09,345800,113,12932234,-0.090387447,0.074,0.03
Feb-09,344300,113.8,12932234,-0.090387447,0.080,0.03
Mar-09,346800,114,12932234,-0.090387447,0.082,0.025
Apr-09,350400,113.9,12956332,-0.043650344,0.083,0.0225
May-09,355600,114.7,12956332,-0.043650344,0.087,0.0225
Jun-09,361400,115.1,12956332,-0.043650344,0.087,0.0225
Jul-09,366900,114.7,12998345,0.017997541,0.087,0.0225
Aug-09,372100,114.7,12998345,0.017997541,0.086,0.0225
Sep-09,377600,114.7,12998345,0.017997541,0.084,0.0225
Oct-09,382500,114.6,13047485,0.046646281,0.085,0.0225
Nov-09,386800,115.2,13047485,0.046646281,0.085,0.0225
Dec-09,389500,114.8,13047485,0.046646281,0.085,0.0225
Jan-10,393800,115.1,13058435,0.048253659,0.083,0.0225
Feb-10,399600,115.6,13058435,0.048253659,0.083,0.0225
Mar-10,404200,115.6,13058435,0.048253659,0.083,0.0225
Apr-10,406900,116,13088106,0.020930436,0.082,0.0225
May-10,406300,116.3,13088106,0.020930436,0.081,0.0225
Jun-10,404500,116.2,13088106,0.020930436,0.080,0.025
Jul-10,401100,116.8,13135778,0.028347797,0.080,0.0275
Aug-10,399900,116.7,13135778,0.028347797,0.081,0.0275
Sep-10,400500,116.9,13135778,0.028347797,0.082,0.03
Oct-10,401100,117.4,13189339,0.044700206,0.080,0.03
Nov-10,402400,117.5,13189339,0.044700206,0.077,0.03
Dec-10,404200,117.5,13189339,0.044700206,0.077,0.03
Jan-11,406900,117.8,13198650,0.030213882,0.078,0.03
Feb-11,414600,118.1,13198650,0.030213882,0.077,0.03
Mar-11,419500,119.4,13198650,0.030213882,0.077,0.03
Apr-11,423700,119.8,13221999,0.00779226,0.077,0.03
May-11,427400,120.6,13221999,0.00779226,0.076,0.03
Jun-11,429900,119.8,13221999,0.00779226,0.076,0.03
Jul-11,432000,120,13261381,0.055185582,0.073,0.03
Aug-11,433500,120.3,13261381,0.055185582,0.073,0.03
Sep-11,434700,120.6,13261381,0.055185582,0.074,0.03
Oct-11,436000,120.8,13308659,0.03150053,0.074,0.03
Nov-11,437800,120.9,13308659,0.03150053,0.076,0.03
Dec-11,439600,120.2,13308659,0.03150053,0.075,0.03
Jan-12,440900,120.7,13323332,0.002563494,0.077,0.03
Feb-12,447600,121.2,13323332,0.002563494,0.075,0.03
Mar-12,453700,121.7,13323332,0.002563494,0.073,0.03
Apr-12,459200,122.2,13348263,0.013046549,0.073,0.03
May-12,462800,122.1,13348263,0.013046549,0.074,0.03
Jun-12,463200,121.6,13348263,0.013046549,0.072,0.03
Jul-12,461900,121.5,13390632,0.005448684,0.073,0.03
Aug-12,461300,121.8,13390632,0.005448684,0.073,0.03
Sep-12,460400,122,13390632,0.005448684,0.073,0.03
Oct-12,460400,122.2,13434943,0.008271259,0.075,0.03
Nov-12,458600,121.9,13434943,0.008271259,0.074,0.03
Dec-12,458300,121.2,13434943,0.008271259,0.073,0.03
Jan-13,457700,121.3,13444704,0.035880194,0.071,0.03
Feb-13,462800,122.7,13444704,0.035880194,0.071,0.03
Mar-13,468700,122.9,13444704,0.035880194,0.073,0.03
Apr-13,474800,122.7,13467829,0.023214288,0.072,0.03
May-13,478100,123,13467829,0.023214288,0.070,0.03
Jun-13,479000,123,13467829,0.023214288,0.072,0.03
Jul-13,479700,123.1,13510781,0.032598936,0.071,0.03
Aug-13,480600,123.1,13510781,0.032598936,0.071,0.03
Sep-13,482400,123.3,13510781,0.032598936,0.071,0.03
Oct-13,483900,123,13558528,0.042022382,0.071,0.03
Nov-13,486700,123,13558528,0.042022382,0.070,0.03
Dec-13,487600,122.7,13558528,0.042022382,0.073,0.03
Jan-14,491600,123.1,13562583,0.00653791,0.071,0.03
Feb-14,497700,124.1,13562583,0.00653791,0.071,0.03
Mar-14,503500,124.8,13562583,0.00653791,0.070,0.03
Apr-14,508700,125.2,13582747,0.036533164,0.071,0.03
May-14,512300,125.8,13582747,0.036533164,0.071,0.03
Jun-14,516000,125.9,13582747,0.036533164,0.071,0.03
Jul-14,516000,125.7,13617553,0.038362052,0.071,0.03
Aug-14,516300,125.7,13617553,0.038362052,0.070,0.03
Sep-14,518100,125.8,13617553,0.038362052,0.069,0.03
Oct-14,521200,125.9,13661314,0.027679027,0.067,0.03
Nov-14,523000,125.4,13661314,0.027679027,0.067,0.03
Dec-14,523000,124.5,13661314,0.027679027,0.067,0.03
Jan-15,527000,124.3,13657737,-0.021980776,0.067,0.0285
Feb-15,534900,125.4,13657737,-0.021980776,0.068,0.0285
Mar-15,544100,126.3,13657737,-0.021980776,0.069,0.0285
Apr-15,552700,126.2,13669860,-0.010886883,0.069,0.0285
May-15,559100,126.9,13669860,-0.010886883,0.069,0.0285
Jun-15,564600,127.2,13669860,-0.010886883,0.069,0.0285
Jul-15,566700,127.3,13707118,0.014148073,0.069,0.027
Aug-15,569800,127.3,13707118,0.014148073,0.070,0.027
Sep-15,573100,127.1,13707118,0.014148073,0.071,0.027
Oct-15,574100,127.2,13757688,0.002995095,0.069,0.027
Nov-15,577100,127.1,13757688,0.002995095,0.071,0.027
Dec-15,577400,126.5,13757688,0.002995095,0.072,0.027
Jan-16,582600,126.8,13773629,0.021940034,0.072,0.027
Feb-16,596100,127.1,13773629,0.021940034,0.073,0.027
Mar-16,609800,127.9,13773629,0.021940034,0.071,0.027
Apr-16,625400,128.3,13816545,-0.019668469,0.072,0.027
May-16,644300,128.8,13816545,-0.019668469,0.070,0.027
Jun-16,655600,129.1,13816545,-0.019668469,0.069,0.027
Jul-16,663600,128.9,13875394,0.041248547,0.070,0.027
Aug-16,670000,128.7,13875394,0.041248547,0.070,0.027
Sep-16,679100,128.8,13875394,0.041248547,0.070,0.027
Oct-16,691400,129.1,13946431,0.022459323,0.070,0.027
Nov-16,695600,128.6,13946431,0.022459323,0.069,0.027
Dec-16,703300,128.4,13946431,0.022459323,0.070,0.027
Jan-17,718900,129.5,13971785,0.043476783,0.068,0.027
Feb-17,747300,129.7,13971785,0.043476783,0.066,0.027
Mar-17,791900,129.9,13971785,0.043476783,0.067,0.027
Apr-17,822700,130.4,14006386,0.040921769,0.065,0.027
May-17,824600,130.5,14006386,0.040921769,0.066,0.027
Jun-17,813000,130.4,14006386,0.040921769,0.065,0.027
Jul-17,780900,130.4,14070141,0.016874921,0.063,0.0295
Aug-17,761600,130.5,14070141,0.016874921,0.062,0.0295
Sep-17,756100,130.8,14070141,0.016874921,0.062,0.032
Oct-17,754300,130.9,14150783,0.020719627,0.063,0.032
Nov-17,752200,131.3,14150783,0.020719627,0.060,0.032
Dec-17,749400,130.8,14150783,0.020719627,0.059,0.032
Jan-18,750000,131.7,14186830,0.035009571,0.060,0.0345
Feb-18,758300,132.5,14186830,0.035009571,0.059,0.0345
Mar-18,767700,132.9,14186830,0.035009571,0.059,0.0345
Apr-18,774500,133.3,14235643,0.031404214,0.059,0.0345
May-18,778400,133.4,14235643,0.031404214,0.060,0.0345
Jun-18,778400,133.6,14235643,0.031404214,0.061,0.0345
Jul-18,775700,134.3,14308697,0.0276049,0.058,0.037
Aug-18,773200,134.2,14308697,0.0276049,0.060,0.037
Sep-18,774800,133.7,14308697,0.0276049,0.059,0.037
Oct-18,776300,134.1,14392903,0.013634782,0.059,0.0395
Nov-18,773600,133.5,14392903,0.013634782,0.057,0.0395
Dec-18,772300,133.4,14392903,0.013634782,0.058,0.0395
Jan-19,769900,133.6,14426822,0.003625634,0.059,0.0395
Feb-19,778100,134.5,14426822,0.003625634,0.059,0.0395
Mar-19,788800,135.4,14426822,0.003625634,0.058,0.0395
Apr-19,797100,136,14467552,0.039629513,0.058,0.0395
May-19,804700,136.6,14467552,0.039629513,0.054,0.0395
Jun-19,806500,136.3,14467552,0.039629513,0.055,0.0395
Jul-19,807500,137,14544701,0.013065712,0.058,0.0395
Aug-19,809600,136.8,14544701,0.013065712,0.058,0.0395
Sep-19,813300,136.2,14544701,0.013065712,0.056,0.0395
Oct-19,818200,136.6,14638247,0.01202735,0.057,0.0395
Nov-19,823000,136.4,14638247,0.01202735,0.060,0.0395
Dec-19,825500,136.4,14638247,0.01202735,0.058,0.0395
Jan-20,836800,136.8,14688726,-0.086292104,0.056,0.0395
Feb-20,857600,137.4,14688726,-0.086292104,0.057,0.0395
Mar-20,879000,136.6,14688726,-0.086292104,0.079,0.0245
Apr-20,876200,135.7,14729324,-0.122025433,0.130,0.0245
May-20,880200,136.1,14729324,-0.122025433,0.134,0.0245
Jun-20,875900,137.2,14729324,-0.122025433,0.122,0.0245
Jul-20,893000,137.2,14745712,-0.122025433,0.109,0.0245
Aug-20,902500,137,14745712,-0.122025433,0.103,0.0245
Sep-20,908900,136.9,14745712,-0.122025433,0.092,0.0245
Oct-20,908600,137.5,14740704,0.08769685,0.092,0.0245
Nov-20,914100,137.7,14740704,0.08769685,0.087,0.0245
Dec-20,921400,137.4,14740704,0.08769685,0.089,0.0245
Jan-21,945200,138.2,14759431,0.046911235,0.094,0.0245
Feb-21,986200,138.9,14759431,0.046911235,0.083,0.0245
Mar-21,1020700,139.6,14759431,0.046911235,0.075,0.0245
Apr-21,1036900,140.3,14795883,-0.036053965,0.080,0.0245
May-21,1045800,141,14795883,-0.036053965,0.080,0.0245
Jun-21,1050300,141.4,14795883,-0.036053965,0.076,0.0245
Jul-21,1054300,142.3,14826276,0.053817831,0.074,0.0245
Aug-21,1059200,142.6,14826276,0.053817831,0.071,0.0245
Sep-21,1082400,142.9,14826276,0.053817831,0.070,0.0245
Oct-21,1128600,143.9,14915270,0.065091966,0.068,0.0245
Nov-21,1172900,144.2,14915270,0.065091966,0.061,0.0245
Dec-21,1208000,144,14915270,0.065091966,0.060,0.0245
Jan-22,1259900,145.3,14951825,0.065091966,0.065,0.0245
Feb-22,1340000,146.8,14951825,0.065091966,0.055,0.0245
